"location","aisle","bay","loclevel","x_length","y_width","z_height","heightfromfloor","attractiveness","distance_from_io_to_aisle","fetch_tool","putaway_zone","fetch_zone","volume","available_volume"
"010101","01",1,1,1.275,-24.798750000000002,0.0,0.25,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010102","01",1,2,1.3660714285714286,-24.798750000000002,0.0,0.55,0.027651180359761607,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010103","01",1,3,1.275,-24.798750000000002,0.0,0.8499999999999999,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010104","01",1,4,1.275,-24.798750000000002,0.0,1.15,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010105","01",1,5,1.3660714285714286,-24.798750000000002,0.0,1.45,0.027651180359761607,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010106","01",1,6,1.3660714285714286,-24.798750000000002,0.0,1.75,0.027651180359761607,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5225223214285714,0.5225223214285714
"010107","01",1,7,1.275,-24.798750000000002,2.175,2.175,0.00045252989667045475,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010108","01",1,8,1.59375,-24.798750000000002,2.6,2.6,0.0003795356286699316,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.8636132812499998,0.8636132812499998
"010109","01",1,9,1.275,-24.798750000000002,3.025,3.025,0.00032681887983645986,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010110","01",1,10,1.275,-24.798750000000002,3.4499999999999997,3.4499999999999997,0.0002869606171661994,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010111","01",1,11,1.275,-24.798750000000002,3.8749999999999996,3.8749999999999996,0.00025576764021421823,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010112","01",1,12,1.275,-24.798750000000002,4.3,4.3,0.00023069121721048757,34.79875,"ORDER_PICKER","OPT-B-01-04","OPT01",0.690890625,0.690890625
"010201","01",2,1,1.275,-24.798750000000002,0.0,0.25,0.02772098825323123,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.48768749999999994,0.48768749999999994
"010202","01",2,2,1.4711538461538463,-24.798750000000002,0.0,0.55,0.027571068405411354,34.79875,"PALLET_JACK","OPT-A-01-04","OPT01-04-LOW",0.5627163461538461,0.5627163461538461
