location,fetch_tool,horizontal_movement_time,vertical_movement_time,remove_from_shelf_time
010303,PALLET_JACK,15.605807692307692,,37.12
010305,PALLET_JACK,16.38146703296703,,22.0
010306,PALLET_JACK,12.38146703296703,,19.16
010403,PALLET_JACK,19.555807692307692,,18.36
010501,PALLET_JACK,13.671961538461538,,33.56
010705,PALLET_JACK,16.384653846153846,,12.47
011103,PALLET_JACK,20.200423076923073,,39.76
011204,PALLET_JACK,17.437937869822484,,21.65
011302,PALLET_JACK,18.234434065934064,,30.88
012103,PALLET_JACK,21.021192307692306,,21.48
012302,PALLET_JACK,25.1074010989011,,36.94
020103,PALLET_JACK,19.321153846153848,,10.09
020306,PALLET_JACK,15.707307692307694,,21.56
020402,PALLET_JACK,13.650266272189349,,21.42
021002,PALLET_JACK,19.2746449704142,,31.95
021803,PALLET_JACK,19.430384615384618,,15.47
022501,PALLET_JACK,23.365000000000002,,25.01
022502,PALLET_JACK,26.19819526627219,,18.16
022603,PALLET_JACK,21.965000000000003,,30.03
030104,PALLET_JACK,14.187550295857989,,30.86
030503,PALLET_JACK,13.84553846153846,,14.28
031101,PALLET_JACK,17.344,,32.28
031504,PALLET_JACK,19.556307692307694,,29.74
032001,PALLET_JACK,18.568615384615384,,31.49
032303,PALLET_JACK,21.230923076923077,,35.11
032504,PALLET_JACK,22.68027218934911,,24.25
032803,PALLET_JACK,22.07323076923077,,25.77
040203,PALLET_JACK,11.007653846153847,,16.15
040405,PALLET_JACK,11.263807692307692,,20.65
040601,PALLET_JACK,14.40996153846154,,32.26
041003,PALLET_JACK,15.602269230769231,,20.44
041203,PALLET_JACK,21.108423076923078,,25.24
041701,PALLET_JACK,14.266884615384615,,20.91
042102,PALLET_JACK,18.45073076923077,,21.41
042502,PALLET_JACK,21.967104395604395,,20.49
050502,PALLET_JACK,23.545923076923078,,27.62
051101,PALLET_JACK,16.962846153846154,,17.87
051901,PALLET_JACK,17.19746153846154,,26.3
052601,PALLET_JACK,20.93592307692308,,35.05
070201,PALLET_JACK,11.703807692307691,,25.88
080701,PALLET_JACK,11.268423076923078,,22.44
081501,PALLET_JACK,16.173038461538464,,14.58
081701,PALLET_JACK,11.819192307692308,,24.6
081901,PALLET_JACK,19.435346153846154,,33.66
082301,PALLET_JACK,20.33765384615385,,28.47
090401,PALLET_JACK,8.90226923076923,,24.29
090402,PALLET_JACK,12.311115384615384,,28.22
090901,PALLET_JACK,11.760730769230769,,40.4
091001,PALLET_JACK,10.070730769230767,,22.45
091501,PALLET_JACK,13.949192307692307,,28.99
091601,PALLET_JACK,15.699192307692307,,25.55
