UUID,quantity
A000009,20
A000009,1
A000012,12
A000013,3
A000013,12
A000015,16
A000016,1
A000018,40
A000022,21
A000023,1
A000024,2
A000028,1
A000028,3
A000029,21
A000030,13
A000031,25
A000033,5
A000037,14
A000037,1
A000039,2
A000040,5
A000044,16
A000045,5
A000045,23
A000048,1
A000048,1
A000053,1
A000056,4
A000057,3
A000057,1
A000058,8
A000058,1
A000060,2
A000061,1
A000062,14
A000065,11
A000069,1
A000071,10
A000072,20
A000074,2
A000075,525
A000076,50
A000077,200
A000078,25
A000079,50
A000079,3
A000080,76
A000081,150
A000082,100
A000083,74
A000086,25
A000089,35
A000091,55
A000092,75
A000093,680
A000095,100
A000096,600
A000097,50
A000098,375
A000100,25
A000101,10
A000102,1
A000103,10
A000104,20
A000106,6
A000110,15
A000111,24
A000112,3
A000113,2
A000114,7
A000121,10
A000121,5
A000123,50
A000125,2
A000126,10
A000132,50
A000132,18
A000133,25
A000134,424
A000135,4
A000137,20
A000138,5
A000139,20
A000140,70
A000144,2
A000145,2
A000146,1
A000147,20
A000149,40
A000152,6
A000155,7
A000163,6
A000164,7
A000165,7
A000166,17
A000168,13
A000170,17
A000177,3
A000179,5
A000182,7
A000183,20
A000185,2
A000188,1
A000190,2
A000191,65
A000192,30
A000194,2
A000196,10
A000198,5
A000203,25
A000204,8
A000206,2
A000207,9
A000208,47
A000209,13
A000211,5
A000212,6
A000213,18
A000214,45
A000217,12
A000219,17
A000222,2
A000226,21
A000227,5
A000228,16
A000231,5
A000233,2
A000233,1
A000235,10
A000239,21
A000240,47
A000243,7
A000244,4
A000248,6
A000250,8
A000253,21
A000254,10
A000258,13
A000259,8
A000260,97
A000261,16
A000263,10
A000264,4
A000264,11
A000269,29
A000269,6
A000270,3
A000274,16
A000274,17
A000275,28
A000277,10
A000278,5
A000280,7
A000281,2
A000282,7
A000283,30
A000285,8
A000286,4
A000288,20
A000289,96
A000295,57
A000299,66
A000299,5
A000300,15
A000301,6
A000305,67
A000309,4
A000312,6
A000315,2
A000318,2
A000320,30
A000324,10
A000325,14
A000325,7
A000335,2
A000336,4
A000337,4
A000339,30
A000344,5
A000347,1
A000348,20
A000349,1
A000352,2
A000355,1
A000362,7
A000369,3
A000373,2
A000377,1
A000383,7
A000385,12
A000392,24
A000397,10
A000398,13
A000400,4
A000401,4
A000402,24
A000404,25
A000406,20
A000407,9
A000408,8
A000410,7
A000411,9
A000413,6
