UUID,putaway zone,volume
A000001,CANTI-LIGHT,36
A000002,CANTI-LIGHT,144
A000003,OPT-A-05-07,729
A000004,OPT-C-01-04,259.2
A000005,OPT-A-01-04,911.25
A000006,OPT-C-01-04,195.52
A000007,OPT-C-01-04,361.57
A000008,OPT-C-01-04,238.875
A000009,OPT-MDK-14,552.23
A000010,OPT-MDK-14,85.536
A000011,OPT-MDK-14,497.025
A000012,OPT-MDK-14,338.91
A000013,OPT-MDK-14,250
A000014,OPT-A-01-04,575
A000015,CANTI-LIGHT,169
A000016,CANTI-LIGHT,100
A000017,CANTI-LIGHT,144
A000018,CANTI-LIGHT,196
A000019,OPT-C-01-04,625
A000020,CANTI-LIGHT,900
A000021,CANTI-LIGHT,961
A000022,CANTI-LIGHT,1225
A000023,CANTI-LIGHT,1849
A000024,CANTI-LIGHT,2304
A000025,OPT-C-01-04,900
A000026,CANTI-LIGHT,4225
A000027,CANTI-LIGHT,2304
A000028,OPT-A-01-04,144
A000029,CANTI-LIGHT,225
A000030,CANTI-LIGHT,49
A000031,CANTI-LIGHT,100
A000032,CANTI-LIGHT,100
A000033,CANTI-LIGHT,144
A000034,OPT-C-01-04,144
A000035,CANTI-LIGHT,324
A000036,CANTI-LIGHT,484
A000037,CANTI-LIGHT,225
A000038,CANTI-HEAVY,256
A000039,CANTI-LIGHT,400
A000040,CANTI-LIGHT,676
A000041,OPT-C-01-04,3364
A000042,OPT-C-01-04,4761
A000043,CANTI-LIGHT,256
A000044,CANTI-LIGHT,324
A000045,CANTI-LIGHT,400
A000046,OPT-A-01-04,484
A000047,CANTI-LIGHT,169
A000048,CANTI-LIGHT,1024
A000049,CANTI-LIGHT,1600
A000050,CANTI-LIGHT,2304
A000051,CANTI-LIGHT,5625
A000052,CANTI-LIGHT,6400
A000053,CANTI-LIGHT,676
A000054,OPT-C-01-04,900
A000055,CANTI-LIGHT,1369
A000056,CANTI-LIGHT,2209
A000057,CANTI-LIGHT,3600
A000058,CANTI-LIGHT,4900
A000059,CANTI-LIGHT,100
A000060,CANTI-LIGHT,400
A000061,CANTI-LIGHT,6160
A000062,OPT-C-05-07,528
A000063,OPT-C-01-04,153
A000064,OPT-A-01-04,300
A000065,OPT-C-01-04,522
A000066,OPT-C-05-07,1200
A000067,OPT-C-01-04,90
A000068,OPT-A-05-07,25
A000069,CANTI-LIGHT,169
A000070,OPT-C-01-04,144
A000071,CANTI-LIGHT,16
A000072,CANTI-LIGHT,36
A000073,CANTI-HEAVY,64
A000074,CANTI-LIGHT,81
A000075,CANTI-LIGHT,121
A000076,CANTI-LIGHT,144
A000077,CANTI-LIGHT,196
A000078,CANTI-LIGHT,256
A000079,CANTI-LIGHT,36
A000080,CANTI-LIGHT,64
A000081,CANTI-LIGHT,81
A000082,CANTI-LIGHT,144
A000083,CANTI-LIGHT,169
A000084,CANTI-LIGHT,196
A000085,CANTI-LIGHT,256
A000086,CANTI-LIGHT,100
A000087,,841
A000088,,1156
A000089,OPT-C-01-04,49
A000090,OPT-C-01-04,100
A000091,CANTI-LIGHT,49
A000092,CANTI-LIGHT,144
A000093,OPT-A-05-07,169
A000094,CANTI-LIGHT,729
A000095,CANTI-LIGHT,256
A000096,CANTI-LIGHT,841
A000097,CANTI-LIGHT,441
A000098,CANTI-LIGHT,625
A000099,OPT-B-05-07,50
A000100,CANTI-LIGHT,25
A000101,OPT-C-05-07,60
A000102,CANTI-LIGHT,135
A000103,OPT-C-01-04,60
A000104,CANTI-LIGHT,2025
A000105,CANTI-LIGHT,16
A000106,OPT-C-01-04,890.1
A000107,OPT-B-01-04,162
A000108,OPT-B-01-04,180.5
A000109,,197.676
A000110,OPT-C-01-04,806.56
A000111,OPT-C-01-04,379.05
A000112,OPT-C-01-04,61.48
A000113,"pallet jack
",8000
A000114,CANTI-LIGHT,144
A000115,CANTI-HEAVY,260
A000116,CANTI-LIGHT,340
A000117,CANTI-LIGHT,0
A000118,CANTI-LIGHT,900
A000119,,167.076
A000120,OPT-C-01-04,18.411
A000121,OPT-AAAA-01-04,20.519
A000122,OPT-C-01-04,24.871
A000123,OPT-AAAA-01-04,25.143
A000124,OPT-C-01-04,31.331
A000125,OPT-C-01-04,0
A000126,OPT-C-01-04,41.021
A000127,OPT-C-01-04,39.593
A000128,OPT-AAAA-01-04,22.743
A000129,OPT-C-01-04,19.703
A000130,OPT-B-01-04,31.331
A000131,OPT-AAAA-01-04,21.708
A000132,OPT-AA-01-04,35.378
