uuid,item_id
A000001,0
A000002,1
A000003,2
A000004,3
A000005,4
A000006,5
A000007,6
A000008,7
A000009,8
A000010,9
A000011,10
A000012,11
A000013,12
A000014,13
A000015,14
A000016,15
A000017,16
A000018,17
A000019,18
A000020,19
A000021,20
A000022,21
A000023,22
A000024,23
A000025,24
A000026,25
A000027,26
A000028,27
A000029,28
A000030,29
A000031,30
A000032,31
A000033,32
A000034,33
A000035,34
A000036,35
A000037,36
A000038,37
A000039,38
A000040,39
A000041,40
A000042,41
A000043,42
A000044,43
A000045,44
A000046,45
A000047,46
A000048,47
A000049,48
A000050,49
A000051,50
A000052,51
A000053,52
A000054,53
A000055,54
A000056,55
A000057,56
A000058,57
A000059,58
A000060,59
A000061,60
A000062,61
A000063,62
A000064,63
A000065,64
A000066,65
A000067,66
A000068,67
A000069,68
A000070,69
A000071,70
A000072,71
A000073,72
A000074,73
A000075,74
A000076,75
A000077,76
A000078,77
A000079,78
A000080,79
A000081,80
A000082,81
A000083,82
A000084,83
A000085,84
A000086,85
A000087,86
A000088,87
A000089,88
A000090,89
A000091,90
A000092,91
A000093,92
A000094,93
A000095,94
A000096,95
A000097,96
A000098,97
A000099,98
A000100,99
A000101,100
A000102,101
A000103,102
A000104,103
A000105,104
A000106,105
A000107,106
A000108,107
A000109,108
A000110,109
A000111,110
A000112,111
A000113,112
A000114,113
A000115,114
A000116,115
A000117,116
A000118,117
A000119,118
A000120,119
A000121,120
A000122,121
A000123,122
A000124,123
A000125,124
A000126,125
A000127,126
A000128,127
A000129,128
A000130,129
A000131,130
A000132,131
A000133,132
A000134,133
A000135,134
A000136,135
A000137,136
A000138,137
A000139,138
A000140,139
A000141,140
A000142,141
A000143,142
A000144,143
A000145,144
A000146,145
A000147,146
A000148,147
A000149,148
A000150,149
A000151,150
A000152,151
A000153,152
A000154,153
A000155,154
A000156,155
A000157,156
A000158,157
A000159,158
A000160,159
A000161,160
A000162,161
A000163,162
A000164,163
A000165,164
A000166,165
A000167,166
A000168,167
A000169,168
A000170,169
A000171,170
A000172,171
A000173,172
A000174,173
A000175,174
A000176,175
A000177,176
A000178,177
A000179,178
A000180,179
A000181,180
A000182,181
A000183,182
A000184,183
A000185,184
A000186,185
A000187,186
A000188,187
A000189,188
A000190,189
A000191,190
A000192,191
A000193,192
A000194,193
A000195,194
A000196,195
A000197,196
A000198,197
A000199,198
A000200,199
A000201,200
A000202,201
A000203,202
A000204,203
A000205,204
A000206,205
A000207,206
A000208,207
A000209,208
A000210,209
A000211,210
A000212,211
A000213,212
A000214,213
A000215,214
A000216,215
A000217,216
A000218,217
A000219,218
A000220,219
A000221,220
A000222,221
A000223,222
A000224,223
A000225,224
A000226,225
A000227,226
A000228,227
A000229,228
A000230,229
A000231,230
A000232,231
A000233,232
A000234,233
A000235,234
A000236,235
A000237,236
A000238,237
A000239,238
A000240,239
A000241,240
A000242,241
A000243,242
A000244,243
A000245,244
A000246,245
A000247,246
A000248,247
A000249,248
A000250,249
A000251,250
A000252,251
A000253,252
A000254,253
A000255,254
A000256,255
A000257,256
A000258,257
A000259,258
A000260,259
A000261,260
A000262,261
A000263,262
A000264,263
A000265,264
A000266,265
A000267,266
A000268,267
A000269,268
A000270,269
A000271,270
A000272,271
A000273,272
A000274,273
A000275,274
A000276,275
A000277,276
A000278,277
A000279,278
A000280,279
A000281,280
A000282,281
A000283,282
A000284,283
A000285,284
A000286,285
A000287,286
A000288,287
A000289,288
A000290,289
A000291,290
A000292,291
A000293,292
A000294,293
A000295,294
A000296,295
A000297,296
A000298,297
A000299,298
A000300,299
A000301,300
A000302,301
A000303,302
A000304,303
A000305,304
A000306,305
A000307,306
A000308,307
A000309,308
A000310,309
A000311,310
A000312,311
A000313,312
A000314,313
