uuid,item_volume,item_attractiveness,putaway_zone,initial_stock
A000001,3.6e-05,4.5314482508609755e-05,CANTI-LIGHT,0
A000002,0.000144,0.0,CANTI-LIGHT,0
A000003,0.000729,4.5314482508609755e-05,OPT-A-05-07,0
A000004,0.0002592,4.5314482508609755e-05,OPT-C-01-04,0
A000005,0.00091125,4.5314482508609755e-05,MERAKEZET,0
A000006,0.00019552,0.0,OPT-B-01-04,0
A000007,0.00036156999999999997,0.00045314482508609753,OPT-A-01-04,0
A000008,0.000238875,4.5314482508609755e-05,OPT-C-01-04,0
A000009,0.00055223,0.0,OPT-B-01-04,21
A000010,8.5536e-05,0.0003172013775602683,OPT-A-01-04,0
A000011,0.000497025,9.062896501721951e-05,OPT-MDK-14,0
A000012,0.00033891000000000005,0.00018125793003443902,OPT-MDK-14,12
A000013,0.00025,0.005347108936015951,OPT-A-07-11,15
A000014,0.000575,9.062896501721951e-05,OPT-B-01-04,0
A000015,0.000169,4.5314482508609755e-05,CANTI-LIGHT,16
A000016,0.0001,0.0,OPT-A-05-07,1
A000017,0.000144,0.0009062896501721951,OPT-C-01-04,0
A000018,0.000196,0.00045314482508609753,CANTI-HEAVY,40
A000019,0.000625,4.5314482508609755e-05,OPT-C-01-04,0
A000020,0.0009,0.00022657241254304877,CANTI-LIGHT,0
A000021,0.000961,0.0006344027551205366,CANTI-LIGHT,0
A000022,0.001225,4.5314482508609755e-05,CANTI-LIGHT,21
A000023,0.001849,0.0026735544680079756,CANTI-HEAVY,1
A000024,0.002304,0.00013594344752582924,CANTI-LIGHT,2
A000025,0.0009,9.062896501721951e-05,CANTI-HEAVY,0
A000026,0.004225,9.062896501721951e-05,CANTI-LIGHT,0
A000027,0.002304,0.0,CANTI-LIGHT,0
A000028,0.000144,0.0020391517128874386,OPT-B-01-04,4
A000029,0.000225,0.00036251586006887804,OPT-C-01-04,21
A000030,4.9e-05,0.0006797172376291463,CANTI-HEAVY,13
A000031,0.0001,0.0014500634402755121,OPT-A-01-04,25
A000032,0.0001,0.0011781765452238534,OPT-A-01-04,0
A000033,0.000144,0.000543773790103317,OPT-A-01-04,5
A000034,0.000144,0.00022657241254304877,OPT-C-01-04,0
A000035,0.000324,0.0005890882726119267,OPT-B-01-04,0
A000036,0.000484,0.00022657241254304877,CANTI-HEAVY,0
A000037,0.000225,0.0007250317201377561,OPT-A-01-04,15
A000038,0.000256,9.062896501721951e-05,OPT-B-01-04,0
A000039,0.0004,4.5314482508609755e-05,OPT-B-05-07,2
A000040,0.000676,0.0,OPT-C-05-07,5
A000041,0.003364,9.062896501721951e-05,OPT-C-07-11,0
A000042,0.004761,0.00013594344752582924,OPT-C-01-04,0
A000043,0.000256,0.0003172013775602683,CANTI-LIGHT,0
A000044,0.000324,0.0007250317201377561,OPT-A-01-04,16
A000045,0.0004,0.00045314482508609753,CANTI-LIGHT,28
A000046,0.000484,0.000543773790103317,CANTI-HEAVY,0
A000047,0.000169,0.00036251586006887804,OPT-A-01-04,0
A000048,0.001024,0.006797172376291463,CANTI-LIGHT,2
A000049,0.0016,4.5314482508609755e-05,CANTI-LIGHT,0
A000050,0.002304,0.0,OPT-C-05-07,0
A000051,0.005625,4.5314482508609755e-05,CANTI-LIGHT,0
A000052,0.0064,0.0,OPT-C-07-11,0
A000053,0.000676,9.062896501721951e-05,CANTI-LIGHT,1
A000054,0.0009,4.5314482508609755e-05,OPT-C-01-04,0
A000055,0.001369,4.5314482508609755e-05,CANTI-LIGHT,0
A000056,0.002209,0.00022657241254304877,OPT-C-05-07,4
A000057,0.0036,0.0004078303425774878,CANTI-LIGHT,4
A000058,0.0049,0.001314119992749683,PALLET-B,9
A000059,0.0001,0.00013594344752582924,CANTI-LIGHT,0
A000060,0.0004,0.0,PALLET-C,2
A000061,0.00616,0.0,OPT-C-01-04,1
A000062,0.000528,0.0,OPT-C-05-07,14
A000063,0.000153,4.5314482508609755e-05,OPT-C-05-07,0
A000064,0.0003,0.0002718868950516585,OPT-MDK-14,0
A000065,0.000522,0.0004078303425774878,OPT-A-05-07,11
A000066,0.0012,0.0,PALLET-B,0
A000067,9e-05,9.062896501721951e-05,OPT-B-01-04,0
A000068,2.5e-05,9.062896501721951e-05,OPT-A-01-04,0
A000069,0.000169,4.5314482508609755e-05,CANTI-LIGHT,1
A000070,0.000144,0.0,CANTI-HEAVY,0
A000071,1.6e-05,9.062896501721951e-05,CANTI-LIGHT,10
A000072,3.6e-05,0.0017219503353271706,CANTI-LIGHT,20
A000073,6.4e-05,0.0008609751676635853,CANTI-HEAVY,0
A000074,8.1e-05,0.003942359978249048,CANTI-LIGHT,2
A000075,0.000121,0.00018125793003443902,CANTI-HEAVY,525
A000076,0.000144,0.010875475802066341,CANTI-HEAVY,50
A000077,0.000196,0.00036251586006887804,CANTI-HEAVY,200
A000078,0.000256,0.0015860068878013414,PALLET-B,25
A000079,3.6e-05,0.0007703462026463658,CANTI-LIGHT,53
A000080,6.4e-05,0.002809497915533805,CANTI-HEAVY,76
A000081,8.1e-05,0.0072503172013775605,CANTI-HEAVY,150
A000082,0.000144,0.007023744788834512,PALLET-B,100
A000083,0.000169,0.0033985861881457315,CANTI-LIGHT,74
A000084,0.000196,0.0,CANTI-HEAVY,0
A000085,0.000256,0.0020391517128874386,CANTI-HEAVY,0
A000086,0.0001,0.0013594344752582926,CANTI-LIGHT,25
A000087,0.000841,0.0,CANTI-LIGHT,0
A000088,0.001156,0.0,OPT-A-07-11,0
A000089,4.9e-05,0.0002718868950516585,OPT-A-01-04,35
A000090,0.0001,0.00013594344752582924,OPT-C-01-04,0
A000091,4.9e-05,0.002628239985499366,MERAKEZET,55
A000092,0.000144,0.06194489758926953,OPT-A-07-11,75
