uuid,location,quantity
A000009,041209,21.0
A008570,041209,2.0
A021161,041209,8.0
A000013,070104,15.0
A021418,070104,3.0
A022403,070104,7.0
A022845,070104,3.0
A029084,070104,2.0
A029238,070104,2.0
A000016,051809,1.0
A012451,051809,1.0
A028505,051809,3.0
A000022,050107,21.0
A001107,050107,1.0
A000023,050302,1.0
A004735,050302,7.0
A004747,050302,26.0
A000028,032515,4.0
A025834,032515,1.0
A026905,032515,1.0
A027393,032515,2.0
A000029,042319,21.0
A014067,042319,2.0
A026148,042319,4.0
A000031,030506,25.0
A002464,030506,24.0
A027786,030506,2.0
A000033,010402,5.0
A000744,010402,10.0
A002598,010402,26.0
A002602,010402,50.0
A004856,010402,20.0
A016524,010402,2.0
A019565,010402,9.0
A021173,010402,1.0
A021292,010402,4.0
A022903,010402,2.0
A023005,010402,9.0
A026202,010402,1.0
A000037,020202,15.0
A001207,020202,1.0
A003137,020202,28.0
A003647,020202,13.0
A013081,020202,3.0
A015904,020202,4.0
A000039,052713,2.0
A002301,052713,1.0
A000040,050719,5.0
A005371,050719,1.0
A027485,050719,1.0
A000044,020905,16.0
A001109,020905,1.0
A001341,020905,21.0
A003136,020905,2.0
A003351,020905,3.0
A003821,020905,1.0
A013259,020905,1.0
A016517,020905,3.0
A017629,020905,3.0
A020681,020905,1.0
A022146,020905,2.0
A000048,050103,2.0
A002967,050103,10.0
A005150,050103,1.0
A011616,050103,14.0
A011640,050103,1.0
A030126,050103,10.0
A000057,050109,4.0
A014207,050109,1.0
A017731,050109,1.0
A030148,050109,1.0
A000058,050122,9.0
A030139,050122,3.0
A000060,501811,2.0
A000196,501811,10.0
A000599,501811,30.0
A002881,501811,8.0
A003021,501811,1.0
A003561,501811,5.0
A003571,501811,2.0
A003794,501811,2.0
A006641,501811,1.0
A009322,501811,1.0
A010340,501811,6.0
A011009,501811,4.0
A011069,501811,1.0
A011605,501811,2.0
A011769,501811,3.0
A013022,501811,12.0
A013056,501811,2.0
A013177,501811,4.0
A013242,501811,1.0
A000061,042521,1.0
A016288,042521,2.0
A019379,042521,1.0
A000062,052121,14.0
A002318,052121,2.0
A023089,052121,5.0
A000065,051505,11.0
A002372,051505,1.0
A008655,051505,1.0
A009050,051505,1.0
A029374,051505,2.0
A000069,050114,1.0
A026889,050114,2.0
A000072,050108,20.0
A009061,050108,1.0
A018764,050108,5.0
A000074,050111,2.0
A000075,050319,525.0
A000077,050518,200.0
A000078,500103,25.0
A004566,500103,7.0
A000079,050121,53.0
A000080,050511,76.0
A018744,050511,2.0
A030137,050511,2.0
A000081,050320,150.0
A000095,050320,100.0
A003060,050320,2.0
A005720,050320,4.0
A011992,050320,2.0
A000082,050307,100.0
A026620,050307,1.0
A000089,040705,35.0
A003888,040705,3.0
A004172,040705,7.0
A008814,040705,5.0
A013336,040705,10.0
A000091,060704,55.0
