date,uuid,quantity
2021-01-03,A007312,1
2021-01-03,A008566,1
2021-01-03,A010114,10
2021-01-03,A014794,1
2021-01-03,A015422,1
2021-01-03,A016145,1
2021-01-03,A016457,1
2021-01-03,A016788,1
2021-01-03,A020142,1
2021-01-03,A021500,2
2021-01-03,A024188,1
2021-01-03,A024208,1
2021-01-03,A024370,1
2021-01-03,A024500,1
2021-01-03,A025550,1
2021-01-03,A026306,1
2021-01-03,A026535,1
2021-01-03,A026551,1
2021-01-03,A028889,1
2021-01-03,A028977,1
2021-01-04,A000023,6
2021-01-04,A000048,6
2021-01-04,A000371,8
2021-01-04,A000633,10
2021-01-04,A000977,1
2021-01-04,A001173,3
2021-01-04,A001174,3
2021-01-04,A001457,5
2021-01-04,A001486,1
2021-01-04,A001917,1
2021-01-04,A001984,5
2021-01-04,A002094,1
2021-01-04,A002095,1
2021-01-04,A002096,2
2021-01-04,A002163,1
2021-01-04,A002207,1
2021-01-04,A002232,6
2021-01-04,A002687,2
2021-01-04,A002933,2
2021-01-04,A002960,1
2021-01-04,A003359,1
2021-01-04,A003372,2
2021-01-04,A003637,50
2021-01-04,A003638,50
2021-01-04,A003916,1
2021-01-04,A003935,10
2021-01-04,A003936,10
2021-01-04,A004197,10
2021-01-04,A004376,100
2021-01-04,A004397,50
2021-01-04,A004647,4
2021-01-04,A004718,50
2021-01-04,A004760,2
2021-01-04,A004761,2
2021-01-04,A005503,2
2021-01-04,A005509,4
2021-01-04,A005597,1
2021-01-04,A006240,9
2021-01-04,A006379,1
2021-01-04,A006392,1
2021-01-04,A006516,1
2021-01-04,A006518,1
2021-01-04,A006906,10
2021-01-04,A006950,1
2021-01-04,A006964,100
2021-01-04,A007169,1
2021-01-04,A007180,10
2021-01-04,A007560,300
2021-01-04,A007744,1
2021-01-04,A007978,10
2021-01-04,A008019,30
2021-01-04,A008216,5
2021-01-04,A008235,6
2021-01-04,A008273,10
2021-01-04,A008294,10
2021-01-04,A008533,1
2021-01-04,A008553,1
2021-01-04,A008566,3
2021-01-04,A009283,1
2021-01-04,A009953,1
2021-01-04,A010038,1
2021-01-04,A010100,1
2021-01-04,A010104,1
2021-01-04,A010105,1
2021-01-04,A010106,1
2021-01-04,A010107,1
2021-01-04,A010109,1
2021-01-04,A010110,1
2021-01-04,A010117,4
2021-01-04,A010569,20
2021-01-04,A010584,4
2021-01-04,A010735,1
2021-01-04,A010900,1
2021-01-04,A010996,30
2021-01-04,A011043,1
2021-01-04,A011326,2
2021-01-04,A011336,2
2021-01-04,A012448,3
2021-01-04,A012519,1
2021-01-04,A012584,20
2021-01-04,A012708,5
2021-01-04,A012918,32
2021-01-04,A012952,5
2021-01-04,A013461,5
2021-01-04,A013468,1
2021-01-04,A013569,1
2021-01-04,A013971,1
2021-01-04,A013999,1
2021-01-04,A014012,1
2021-01-04,A017563,1
2021-01-04,A017583,1
2021-01-04,A017706,1
2021-01-04,A019021,1
2021-01-04,A019322,1
2021-01-04,A020159,1
2021-01-04,A020534,1
2021-01-04,A022162,1
2021-01-04,A024364,2
2021-01-04,A024689,1
2021-01-04,A024697,1
2021-01-04,A025927,1
2021-01-05,A003861,2
2021-01-05,A006864,1
2021-01-05,A006906,1
2021-01-05,A006968,1
2021-01-05,A007872,1
2021-01-05,A014564,4
2021-01-05,A014919,1
2021-01-05,A016512,1
2021-01-05,A018337,1
2021-01-05,A024189,2
2021-01-05,A024272,1
2021-01-05,A024517,1
2021-01-05,A024795,1
2021-01-05,A027900,1
2021-01-06,A015088,1
2021-01-06,A015422,2
2021-01-06,A016346,2
2021-01-06,A016614,1
2021-01-06,A016818,1
2021-01-06,A017001,2
2021-01-06,A017419,2
2021-01-06,A017596,1
2021-01-06,A018153,2
2021-01-06,A018190,1
2021-01-06,A018251,1
2021-01-06,A018384,1
2021-01-06,A018464,1
2021-01-06,A018577,1
2021-01-06,A018606,1
2021-01-06,A018793,1
2021-01-06,A018816,1
2021-01-06,A020118,1
2021-01-06,A020275,5
2021-01-06,A020310,1
2021-01-06,A021317,1
2021-01-06,A021404,1
2021-01-06,A021410,2
2021-01-06,A021624,2
2021-01-06,A021644,1
2021-01-06,A021662,1
2021-01-06,A021721,1
2021-01-06,A021775,2
2021-01-06,A021786,2
2021-01-06,A021917,30
2021-01-06,A022212,1
2021-01-06,A022896,1
2021-01-06,A022931,1
2021-01-06,A022993,1
2021-01-06,A023056,1
2021-01-06,A023291,1
2021-01-06,A024557,1
2021-01-06,A024904,1
2021-01-06,A024997,1
2021-01-06,A025144,1
2021-01-06,A025235,1
2021-01-06,A025541,1
2021-01-06,A025997,1
2021-01-06,A026087,2
2021-01-06,A026143,1
2021-01-06,A026780,1
2021-01-06,A027008,2
2021-01-06,A027118,1
2021-01-06,A027183,1
2021-01-06,A027657,1
2021-01-06,A027677,1
2021-01-06,A028294,1
2021-01-06,A028748,2
2021-01-06,A029061,2
2021-01-06,A029088,1
2021-01-06,A029160,1
2021-01-07,A015400,1
2021-01-07,A022743,1
2021-01-10,A000792,200
2021-01-10,A000864,2
2021-01-10,A000869,100
2021-01-10,A000956,1
2021-01-10,A001050,2
2021-01-10,A001169,2
2021-01-10,A001170,2
2021-01-10,A001232,30
